video_id,duration,category
xqaA_gIx1jU,936.0,LC-Lifestyle-Cooking-Recipes
QpUBtBEJiOs,953.3,LC-Lifestyle-Cooking-Recipes
1StypUbR_YA,979.13,LC-Lifestyle-Cooking-Recipes
IUHYj96sNeI,937.56,LC-Lifestyle-Cooking-Recipes
6vebbDZxoKE,971.93,LC-Lifestyle-Cooking-Recipes
7hIJDOohas8,914.25,LC-Lifestyle-Cooking-Recipes
bnjBpumrKkk,958.4,LC-Lifestyle-Cooking-Recipes
ksOLsvsZVps,913.75,LC-Lifestyle-Cooking-Recipes
HrAi1R1F9Pw,936.3,LC-Lifestyle-Cooking-Recipes
E_EUG6w156s,931.77,LC-Lifestyle-Cooking-Recipes
zSGul-P9P3w,974.48,LC-Lifestyle-Cooking-Recipes
4tHk8jJic3k,956.62,LC-Lifestyle-Cooking-Recipes
mhyv-nRXGmc,911.44,LC-Lifestyle-Cooking-Recipes
6ibZezGV0Kc,922.88,LC-Lifestyle-Cooking-Recipes
RhXW1nKzVVk,951.58,LC-Lifestyle-Cooking-Recipes
Zgk2OaSIYOU,935.88,LC-Lifestyle-Cooking-Recipes
zuS_GQfe7J0,942.99,LC-Lifestyle-Cooking-Recipes
-f8psVWljQQ,905.2,LC-Lifestyle-Cooking-Recipes
PVvR_ZDjfhQ,906.78,LC-Lifestyle-Cooking-Recipes
xU1s14ebD1M,971.6,LC-Lifestyle-Cooking-Recipes
tq5oIIlop5s,915.73,LC-Lifestyle-Cooking-Recipes
R90A7Ca8zpQ,918.96,LC-Lifestyle-Cooking-Recipes
FlMLRvrq5vI,919.92,LC-Lifestyle-Cooking-Recipes
