video_id,duration,category
pCNGTT9LbBQ,988.63,Recreational: MR-Movie-Recaps
gzNrnSxKA7c,944.18,Recreational: MR-Movie-Recaps
qVdLXQgt6dw,993.92,Recreational: MR-Movie-Recaps
eQFiZ_4AIsE,919.71,Recreational: MR-Movie-Recaps
dPW5kUKjmR4,919.62,Recreational: MR-Movie-Recaps
6rYciBvzkU4,932.43,Recreational: MR-Movie-Recaps
7QUJ5SCKEhc,980.41,Recreational: MR-Movie-Recaps
egG4VNZGqG8,958.83,Recreational: MR-Movie-Recaps
TTPotrEuzIo,975.04,Recreational: MR-Movie-Recaps
eNqxgXkbaFw,913.95,Recreational: MR-Movie-Recaps
knnoVAyOxuA,915.95,Recreational: MR-Movie-Recaps
sEj2lhXhkbU,925.89,Recreational: MR-Movie-Recaps
13ByPC8ac7w,947.49,Recreational: MR-Movie-Recaps
G8FZtQFttM8,916.28,Recreational: MR-Movie-Recaps
xetUZY33rSM,907.94,Recreational: MR-Movie-Recaps
nqjPYHZ37HE,910.88,Recreational: MR-Movie-Recaps
urXojVL9ULE,998.63,Recreational: MR-Movie-Recaps
c8MsJz2xUNg,937.04,Recreational: MR-Movie-Recaps
27w6E2Vyt6A,936.36,Recreational: MR-Movie-Recaps
N8JA_m_kcy4,967.8,Recreational: MR-Movie-Recaps
FSiOsYyU8jI,959.9,Recreational: MR-Movie-Recaps
5wNiNXcG7lE,906.94,Recreational: MR-Movie-Recaps
tMVDTMrPzDM,957.19,Recreational: MR-Movie-Recaps
qk4LU_i4gsc,939.87,Recreational: MR-Movie-Recaps
l2N3V5zzefU,976.84,Recreational: MR-Movie-Recaps
Uk5_GLGeRiY,951.91,Recreational: MR-Movie-Recaps
LXhP-mec5xo,992.45,Recreational: MR-Movie-Recaps
z5b46_hwtkc,998.3,Recreational: MR-Movie-Recaps
K16pFXgrdRw,939.71,Recreational: MR-Movie-Recaps
UwyBbhyocJM,901.44,Recreational: MR-Movie-Recaps
UvxhQuE1iw4,995.56,Recreational: MR-Movie-Recaps
JwSSABe3B54,936.67,Recreational: MR-Movie-Recaps
_9NIU2r6RSs,980.12,Recreational: MR-Movie-Recaps
M2wtT8L04Lw,990.8,Recreational: MR-Movie-Recaps
