video_id,duration,category
1NzygnKWG_g,993.46,LT-Lifestyle-Travel-Guides
vZUwAL4CulE,1000.04,LT-Lifestyle-Travel-Guides
VBObGVuUHwc,982.27,LT-Lifestyle-Travel-Guides
knfr0SUqJvI,1001.21,LT-Lifestyle-Travel-Guides
5XHF-kZftDA,996.83,LT-Lifestyle-Travel-Guides
mMstMmhgZmg,952.08,LT-Lifestyle-Travel-Guides
aGLQR6TLlcI,963.59,LT-Lifestyle-Travel-Guides
q1cBLxdWNVw,1049.13,LT-Lifestyle-Travel-Guides
9F47SdaGOwg,939.4,LT-Lifestyle-Travel-Guides
4tMSsFKzkow,1013.1,LT-Lifestyle-Travel-Guides
Sw-HaD6IkWU,924.37,LT-Lifestyle-Travel-Guides
qbDgjwB93i8,1025.73,LT-Lifestyle-Travel-Guides
r2SBKcYt6FA,948.98,LT-Lifestyle-Travel-Guides
wCQC8ZIIc1o,1027.07,LT-Lifestyle-Travel-Guides
ftymKoG78Ng,924.07,LT-Lifestyle-Travel-Guides
xpNf_M-VQTk,962.7,LT-Lifestyle-Travel-Guides
7qBBRCUJC2A,928.16,LT-Lifestyle-Travel-Guides
05f1WZFgmCY,928.63,LT-Lifestyle-Travel-Guides
AuGlltrffKY,929.96,LT-Lifestyle-Travel-Guides
xkGyETwGbmI,1043.81,LT-Lifestyle-Travel-Guides
KgmV2GaN-J0,955.58,LT-Lifestyle-Travel-Guides
m4w1A-JU_hk,947.7,LT-Lifestyle-Travel-Guides
xKT26PuX4c0,936.6,LT-Lifestyle-Travel-Guides
FnblcP8QfPA,956.26,LT-Lifestyle-Travel-Guides
vocQR-_MwXA,944.61,LT-Lifestyle-Travel-Guides
V6yXZirD1jU,971.06,LT-Lifestyle-Travel-Guides
MJazCMYQb8I,969.14,LT-Lifestyle-Travel-Guides
