video_id,duration,category
NKcb7XoSenk,905.03,LT-Lifestyle-Travel-Guides
VBObGVuUHwc,982.27,LT-Lifestyle-Travel-Guides
mMstMmhgZmg,952.08,LT-Lifestyle-Travel-Guides
aGLQR6TLlcI,963.59,LT-Lifestyle-Travel-Guides
9F47SdaGOwg,939.4,LT-Lifestyle-Travel-Guides
Sw-HaD6IkWU,924.37,LT-Lifestyle-Travel-Guides
r2SBKcYt6FA,948.98,LT-Lifestyle-Travel-Guides
ftymKoG78Ng,924.07,LT-Lifestyle-Travel-Guides
4zHp29IgfuU,920.34,LT-Lifestyle-Travel-Guides
xpNf_M-VQTk,962.7,LT-Lifestyle-Travel-Guides
dHWhntWbx5w,917.69,LT-Lifestyle-Travel-Guides
7qBBRCUJC2A,928.16,LT-Lifestyle-Travel-Guides
05f1WZFgmCY,928.63,LT-Lifestyle-Travel-Guides
AuGlltrffKY,929.96,LT-Lifestyle-Travel-Guides
KgmV2GaN-J0,955.58,LT-Lifestyle-Travel-Guides
m4w1A-JU_hk,947.7,LT-Lifestyle-Travel-Guides
xKT26PuX4c0,936.6,LT-Lifestyle-Travel-Guides
FnblcP8QfPA,956.26,LT-Lifestyle-Travel-Guides
vocQR-_MwXA,944.61,LT-Lifestyle-Travel-Guides
fzBmDMQYmTI,915.18,LT-Lifestyle-Travel-Guides
V6yXZirD1jU,971.06,LT-Lifestyle-Travel-Guides
MJazCMYQb8I,969.14,LT-Lifestyle-Travel-Guides
