video_id,duration,category
YpTW1PSiL-U,1075.83,LV-Lifestyle-Life-Vlogs
xHvvMGHmwuU,1020.73,LV-Lifestyle-Life-Vlogs
fXRqX6uQ4ts,973.27,LV-Lifestyle-Life-Vlogs
y6c6jz4NRWY,1034.88,LV-Lifestyle-Life-Vlogs
VZf7KzH40B8,944.95,LV-Lifestyle-Life-Vlogs
T8XiBTZRwSU,1035.9,LV-Lifestyle-Life-Vlogs
AI4PXxI3qcM,949.12,LV-Lifestyle-Life-Vlogs
9bP23aHNkYo,1037.71,LV-Lifestyle-Life-Vlogs
cu5Z7j7FIhU,926.76,LV-Lifestyle-Life-Vlogs
JIVUfS-YXeY,948.49,LV-Lifestyle-Life-Vlogs
uEIQo3UP2iw,1051.26,LV-Lifestyle-Life-Vlogs
OtDytqkhjjM,988.56,LV-Lifestyle-Life-Vlogs
V9NZWMFydH4,1069.8,LV-Lifestyle-Life-Vlogs
RU4auIoVQKE,960.25,LV-Lifestyle-Life-Vlogs
D8IwYmhS9Qw,985.49,LV-Lifestyle-Life-Vlogs
zOVd5bSLBRQ,1020.44,LV-Lifestyle-Life-Vlogs
WF7F4GQ1J0w,957.17,LV-Lifestyle-Life-Vlogs
50ev0a1J9uQ,927.47,LV-Lifestyle-Life-Vlogs
nEL0lVLOeOs,1035.1,LV-Lifestyle-Life-Vlogs
QNxIiTStOaQ,1009.51,LV-Lifestyle-Life-Vlogs
YrdLMFiygUk,982.28,LV-Lifestyle-Life-Vlogs
jmPTbUcNMnY,1024.42,LV-Lifestyle-Life-Vlogs
KbFziURyfhY,998.63,LV-Lifestyle-Life-Vlogs
lNX-vl_xAFc,949.28,LV-Lifestyle-Life-Vlogs
wnElMGO5Eh4,978.77,LV-Lifestyle-Life-Vlogs
xtkq4jRVkgM,995.06,LV-Lifestyle-Life-Vlogs
q8aczw5Ce6E,955.75,LV-Lifestyle-Life-Vlogs
J4D5RydtJJo,988.79,LV-Lifestyle-Life-Vlogs
z1fshY-CwSY,1001.77,LV-Lifestyle-Life-Vlogs
aT2sCd_8oEk,929.81,LV-Lifestyle-Life-Vlogs
T7bhbL1cqOw,994.73,LV-Lifestyle-Life-Vlogs
dCHFYOHlbBk,979.05,LV-Lifestyle-Life-Vlogs
yWOsyFAUS4g,1023.22,LV-Lifestyle-Life-Vlogs
SCR_g385pCs,948.95,LV-Lifestyle-Life-Vlogs
