video_id,duration,category
fXRqX6uQ4ts,973.27,LV-Lifestyle-Life-Vlogs
VZf7KzH40B8,944.95,LV-Lifestyle-Life-Vlogs
AI4PXxI3qcM,949.12,LV-Lifestyle-Life-Vlogs
cu5Z7j7FIhU,926.76,LV-Lifestyle-Life-Vlogs
JIVUfS-YXeY,948.49,LV-Lifestyle-Life-Vlogs
RU4auIoVQKE,960.25,LV-Lifestyle-Life-Vlogs
cgTGO4osPuo,912.15,LV-Lifestyle-Life-Vlogs
WF7F4GQ1J0w,957.17,LV-Lifestyle-Life-Vlogs
7AeMhVN-TFA,920.59,LV-Lifestyle-Life-Vlogs
dPTCxiZ6h00,907.21,LV-Lifestyle-Life-Vlogs
50ev0a1J9uQ,927.47,LV-Lifestyle-Life-Vlogs
YrdLMFiygUk,982.28,LV-Lifestyle-Life-Vlogs
lNX-vl_xAFc,949.28,LV-Lifestyle-Life-Vlogs
j6tk5iegRME,920.65,LV-Lifestyle-Life-Vlogs
wnElMGO5Eh4,978.77,LV-Lifestyle-Life-Vlogs
q8aczw5Ce6E,955.75,LV-Lifestyle-Life-Vlogs
PimpJUhpzic,916.48,LV-Lifestyle-Life-Vlogs
aT2sCd_8oEk,929.81,LV-Lifestyle-Life-Vlogs
dCHFYOHlbBk,979.05,LV-Lifestyle-Life-Vlogs
SCR_g385pCs,948.95,LV-Lifestyle-Life-Vlogs
hDbIzOx0Mnk,900.47,LV-Lifestyle-Life-Vlogs
