video_id,duration,category
VmNfku3Tej8,591.77,Recreational: MR-Movie-Recaps
ptq7zIt6Dyo,554.46,Recreational: MR-Movie-Recaps
KGE6y95NhUM,584.65,Recreational: MR-Movie-Recaps
WrBLGuopAuA,564.0,Recreational: MR-Movie-Recaps
m5oFJf6nUdY,575.63,Recreational: MR-Movie-Recaps
R_gI0CNcLiM,507.94,Recreational: MR-Movie-Recaps
1q-iTza3iNo,490.03,Recreational: MR-Movie-Recaps
vKKakkHjzFs,523.79,Recreational: MR-Movie-Recaps
3YK21UHUtLE,484.13,Recreational: MR-Movie-Recaps
6ql2xlebZYA,558.49,Recreational: MR-Movie-Recaps
ZEUBSCNQ-A0,563.7,Recreational: MR-Movie-Recaps
oicBAgHe9p4,590.04,Recreational: MR-Movie-Recaps
Xyj4IoQqf_k,504.96,Recreational: MR-Movie-Recaps
6OUZXiaF_FU,559.63,Recreational: MR-Movie-Recaps
mS_9f5txVGg,550.23,Recreational: MR-Movie-Recaps
jnM7u39HXZM,573.37,Recreational: MR-Movie-Recaps
RiqoHOrQ7GU,577.6,Recreational: MR-Movie-Recaps
xaf1QP7wjio,571.47,Recreational: MR-Movie-Recaps
aifIZasgnXY,561.53,Recreational: MR-Movie-Recaps
u2z3Y6qf-fA,500.83,Recreational: MR-Movie-Recaps
MaG1Kn7RM2Q,569.61,Recreational: MR-Movie-Recaps
GDZdeUCNfL4,578.91,Recreational: MR-Movie-Recaps
8rNhsftFj0Q,575.61,Recreational: MR-Movie-Recaps
LeAfsjsJnYI,529.23,Recreational: MR-Movie-Recaps
AeOuyGbhcIY,572.47,Recreational: MR-Movie-Recaps
6aUiAhASJak,592.55,Recreational: MR-Movie-Recaps
SHvA5Q7DX_o,536.8,Recreational: MR-Movie-Recaps
HsZNPsHB5Jw,562.17,Recreational: MR-Movie-Recaps
RKFaYL0RUPs,574.48,Recreational: MR-Movie-Recaps
QdwCB925pFY,574.81,Recreational: MR-Movie-Recaps
-07drzOov-M,555.97,Recreational: MR-Movie-Recaps
O1iiLYHCQDE,559.27,Recreational: MR-Movie-Recaps
hGCLb_bcTLU,481.15,Recreational: MR-Movie-Recaps
Qs9emiQEJNA,585.29,Recreational: MR-Movie-Recaps
jXEbN2ZJXAY,590.96,Recreational: MR-Movie-Recaps
Xd4Du1q6B6Q,486.6,Recreational: MR-Movie-Recaps
UUcdqrkYaBU,520.39,Recreational: MR-Movie-Recaps
98Ip9meBD0g,560.36,Recreational: MR-Movie-Recaps
ZaQC9s573Mk,583.03,Recreational: MR-Movie-Recaps
Wb--4VmKpUI,572.36,Recreational: MR-Movie-Recaps
jzPAWfBxLD4,574.07,Recreational: MR-Movie-Recaps
DUuwT1uWAmo,505.07,Recreational: MR-Movie-Recaps
XsMma8JDn6g,521.93,Recreational: MR-Movie-Recaps
nsqjR62BgTc,549.57,Recreational: MR-Movie-Recaps
D5_wgH77uKE,533.23,Recreational: MR-Movie-Recaps
v6Vo1cmnTF4,514.23,Recreational: MR-Movie-Recaps
OSZbjqyhYuY,540.13,Recreational: MR-Movie-Recaps
8vRkvH4xx5s,572.14,Recreational: MR-Movie-Recaps
TCpdqSzhANc,537.0,Recreational: MR-Movie-Recaps
ML6vsuE38HI,546.88,Recreational: MR-Movie-Recaps
YV5XfB7VvFM,594.72,Recreational: MR-Movie-Recaps
56zAHSpSM7k,579.28,Recreational: MR-Movie-Recaps
2qfysRT_IQU,539.17,Recreational: MR-Movie-Recaps
gIoy2WkybEA,595.24,Recreational: MR-Movie-Recaps
F7P8uGkwhmY,526.96,Recreational: MR-Movie-Recaps
9Z_pTQrk3t4,490.66,Recreational: MR-Movie-Recaps
QkSAt9IWtLA,565.84,Recreational: MR-Movie-Recaps
RklJ0TLh0_A,571.67,Recreational: MR-Movie-Recaps
JEWVq08LT28,596.8,Recreational: MR-Movie-Recaps
USdIHwQMeOo,531.6,Recreational: MR-Movie-Recaps
sQImYnr_wCg,517.33,Recreational: MR-Movie-Recaps
