video_id,duration,category
BIcKLxV-8Gs,567.2,LV-Lifestyle-Life-Vlogs
vMR2JnjrVbM,562.56,LV-Lifestyle-Life-Vlogs
SjZaykUfJqc,561.68,LV-Lifestyle-Life-Vlogs
Op9gwDR1YlM,525.44,LV-Lifestyle-Life-Vlogs
ceL9SeCezcI,569.44,LV-Lifestyle-Life-Vlogs
G5GmFXLwHoc,592.84,LV-Lifestyle-Life-Vlogs
JIv2Cq_YEYM,470.55,LV-Lifestyle-Life-Vlogs
jF0GveGkjJ4,530.76,LV-Lifestyle-Life-Vlogs
N6ohRUog0RY,495.16,LV-Lifestyle-Life-Vlogs
Mwg7kCRQfes,539.41,LV-Lifestyle-Life-Vlogs
T3ACX11E3CU,584.92,LV-Lifestyle-Life-Vlogs
QzaFGCxoy5I,496.3,LV-Lifestyle-Life-Vlogs
WFf-ZCOAXCc,522.2,LV-Lifestyle-Life-Vlogs
jPXVANbTfEg,480.48,LV-Lifestyle-Life-Vlogs
nMHwatpXM0Q,583.28,LV-Lifestyle-Life-Vlogs
CgjCk9hB3Xs,480.48,LV-Lifestyle-Life-Vlogs
esRZOALB5Bc,528.8,LV-Lifestyle-Life-Vlogs
OYoRWHSEh3c,507.88,LV-Lifestyle-Life-Vlogs
ctNruaKxVQE,569.32,LV-Lifestyle-Life-Vlogs
shZuYhJFZ5k,562.31,LV-Lifestyle-Life-Vlogs
ShexTHpgM_E,458.79,LV-Lifestyle-Life-Vlogs
Jj2wA5FING4,508.05,LV-Lifestyle-Life-Vlogs
1xsw7U47UQo,564.87,LV-Lifestyle-Life-Vlogs
TcQYR8LhCSI,461.23,LV-Lifestyle-Life-Vlogs
O-1JmMST1xs,463.12,LV-Lifestyle-Life-Vlogs
nxNqBg7GfLc,541.2,LV-Lifestyle-Life-Vlogs
7H3D-6nj_dY,505.67,LV-Lifestyle-Life-Vlogs
Urp5sK3tJ7c,498.6,LV-Lifestyle-Life-Vlogs
Hqse-27XWEQ,596.47,LV-Lifestyle-Life-Vlogs
8JWGjBLwpeg,542.59,LV-Lifestyle-Life-Vlogs
ojBqr4Vl8Zs,580.25,LV-Lifestyle-Life-Vlogs
LFuxCYaD76E,561.24,LV-Lifestyle-Life-Vlogs
vkJi_VJ9myA,528.7,LV-Lifestyle-Life-Vlogs
XHw0bDa16xA,525.65,LV-Lifestyle-Life-Vlogs
jd28-FKH9ho,590.42,LV-Lifestyle-Life-Vlogs
5c4eWe2-F6U,512.58,LV-Lifestyle-Life-Vlogs
